,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
13733,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-1.0,0.2,0.2,-0.5,0.4,-1.0,0.3,-0.4,0.2
96936,9,0,0,0,9,1.0,-1.0,0.1,-0.5,-0.4,0.4,-0.5,-0.5,-0.2,-0.2,-0.8,-0.4,-0.8
115997,5,0,0,0,5,1.0,-1.0,0.5,-0.5,-0.8,0.3,0.4,-0.5,0.2,-1.0,0.0,-0.4,0.4
249634,5,0,0,0,5,1.0,-1.0,-0.2,-0.5,-1.0,0.2,-0.1,-0.5,0.1,-1.0,-0.8,-0.4,-1.0
140763,6,0,0,0,6,1.0,-1.0,0.0,-0.5,-0.7,0.0,-0.2,-0.5,0.4,-0.5,0.2,-0.4,-0.5
119446,6,0,0,0,6,1.0,-1.0,-0.2,-0.5,-1.0,0.3,-0.3,-0.5,0.3,-0.4,-0.4,-0.4,0.0
16908,9,0,0,0,9,1.0,-1.0,0.0,-0.5,-0.6,0.1,-0.2,-0.5,0.3,-0.9,-0.6,-0.4,-1.0
127432,7,0,0,0,7,1.0,-1.0,-0.2,-0.5,-1.0,0.2,-0.8,-0.5,0.5,-0.8,-1.0,-0.4,-0.6
131238,6,0,0,0,6,1.0,-1.0,0.1,-0.5,-0.8,0.2,-0.3,-0.5,0.5,-0.8,-0.6,-0.4,-0.2
127122,5,0,0,0,5,1.0,-1.0,0.3,-0.5,-1.0,0.2,0.0,-0.5,0.4,-1.0,-0.6,-0.4,-1.0
126860,8,0,0,0,8,1.0,-1.0,0.2,-0.5,-0.8,0.1,0.2,-0.5,0.4,-0.8,-0.2,-0.4,-0.8
254863,7,0,0,0,7,1.0,-1.0,0.2,-0.5,-1.0,0.0,0.2,-0.5,0.4,-0.8,-0.2,-0.4,-1.0
133166,9,0,0,0,9,1.0,-1.0,0.1,-0.5,-1.0,0.1,-0.5,-0.5,-0.1,-1.0,-0.8,-0.4,-1.0
133258,10,0,0,0,10,1.0,-1.0,0.2,-0.5,-0.9,0.3,-0.1,-0.5,0.2,-0.6,-0.1,-0.4,-0.6
254777,5,0,0,0,5,1.0,-1.0,0.8,-0.5,-0.7,0.2,-0.5,-0.5,0.0,-0.4,-0.2,-0.4,-0.4
253867,7,0,0,0,7,1.0,-1.0,0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.6,-0.6,-0.4,-0.4,0.4
124989,22,0,0,0,22,1.0,-1.0,0.3,-0.5,-1.0,0.1,0.3,-0.5,0.3,-1.0,-0.4,-0.4,-1.0
151483,5,0,0,0,5,1.0,-1.0,0.1,-0.5,-1.0,-0.1,0.5,-0.5,0.0,-0.6,-0.2,-0.4,-0.1
275481,5,0,0,0,5,1.0,-1.0,-0.3,-0.5,-0.8,0.0,-0.3,-0.5,0.5,-0.6,0.2,-0.4,0.2
135665,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-0.4,0.2,0.2,-0.5,0.3,-0.3,0.2,-0.4,0.4
20115,5,0,0,0,5,1.0,-1.0,-0.2,-0.5,-0.8,0.2,-0.1,-0.5,0.0,-0.5,0.0,-0.4,-0.4
135965,5,0,0,0,5,1.0,-1.0,-0.2,-0.5,-0.8,-0.2,0.2,-0.5,-0.2,-0.7,-0.4,-0.4,-0.6
277937,8,0,0,0,8,1.0,-1.0,0.2,-0.5,-0.5,0.4,0.0,-0.5,0.5,-0.5,-0.4,-0.4,-0.2
20347,6,0,0,0,6,1.0,-1.0,0.0,-0.5,-1.0,0.0,-0.3,-0.5,0.6,-1.0,0.4,-0.4,0.2
121405,5,0,0,0,5,1.0,-1.0,0.6,-0.5,-1.0,0.2,0.3,-0.5,0.0,-1.0,-1.0,-0.4,-0.8
121166,6,0,0,0,6,1.0,-1.0,0.2,-0.5,-1.0,-0.1,0.0,-0.5,0.1,-0.4,-0.2,-0.4,-0.1
21903,8,0,0,0,8,1.0,-1.0,0.1,-0.5,-1.0,0.2,0.0,-0.5,0.2,-0.4,0.0,-0.4,-0.4
120333,6,0,0,0,6,1.0,-1.0,-0.2,-0.5,-1.0,0.1,0.6,-0.5,-0.2,-0.7,-0.1,-0.4,-0.4
139607,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.8,0.3,0.6,-0.5,0.2,-0.3,-0.4,-0.4,-0.4
120030,5,0,0,0,5,1.0,-1.0,0.0,-0.5,-1.0,0.3,0.2,-0.5,0.0,-1.0,-1.0,-0.4,-1.0
19429,8,0,0,0,8,1.0,-1.0,0.1,-0.5,-1.0,0.3,0.2,-0.5,-0.5,-0.8,-0.2,-0.4,0.6
151537,8,0,0,0,8,1.0,-1.0,0.6,-0.5,-1.0,0.2,-0.1,-0.5,0.1,-0.4,-1.0,-0.4,-0.4
151479,6,0,0,0,6,1.0,-1.0,0.1,-0.5,-0.2,0.2,0.0,-0.5,0.3,-0.2,0.0,-0.4,-1.0
273167,6,0,0,0,6,1.0,-1.0,0.5,-0.5,-1.0,0.2,0.0,-0.5,-0.1,-0.8,0.8,-0.4,-1.0
159868,13,0,0,0,13,1.0,-1.0,0.4,-0.5,-1.0,0.0,-0.1,-0.5,0.4,-1.0,0.4,-0.4,-0.7
160231,8,0,0,0,8,1.0,-1.0,-0.1,-0.5,-1.0,0.0,0.3,-0.5,0.9,-1.0,0.2,-0.4,-0.2
31050,20,0,0,0,20,1.0,-1.0,0.0,-0.5,-1.0,0.4,0.0,-0.5,0.1,-1.0,0.3,-0.4,-0.9
160878,5,0,0,0,5,1.0,-1.0,0.2,-0.5,-0.7,0.2,-0.3,-0.5,0.3,-0.6,-0.2,-0.4,0.0
161200,12,0,0,0,12,1.0,-1.0,0.6,-0.5,-1.0,0.3,0.3,-0.5,0.1,-1.0,0.0,-0.4,-0.9
34377,11,0,0,0,11,1.0,-1.0,0.4,-0.5,-0.5,-0.1,-0.3,-0.5,0.2,-1.0,0.2,-0.4,-0.4
34987,9,0,0,0,9,1.0,-1.0,-0.2,-0.5,-0.8,0.2,-0.5,-0.5,0.3,-0.8,-0.4,-0.4,0.2
35030,6,0,0,0,6,1.0,-1.0,-0.6,-0.5,-0.6,0.0,-0.1,-0.5,0.3,-0.2,-0.6,-0.4,0.6
162219,9,0,0,0,9,1.0,-1.0,-0.2,-0.5,-1.0,0.2,-0.5,-0.5,-0.4,-1.0,0.3,-0.4,0.4
238757,5,0,0,0,5,1.0,-1.0,-0.5,-0.5,-1.0,0.1,0.2,-0.5,0.5,-1.0,-1.0,-0.4,-1.0
32250,10,0,0,0,10,1.0,-1.0,-0.6,-0.5,-0.8,0.1,0.3,-0.5,-0.1,-0.2,-0.2,-0.4,0.6
101874,7,0,0,0,7,1.0,-1.0,0.0,-0.5,-0.8,0.2,0.2,-0.5,0.0,-1.0,0.4,-0.4,-1.0
238319,7,0,0,0,7,1.0,-1.0,-0.1,-0.5,-1.0,-0.2,0.2,-0.5,0.4,-0.6,-0.4,-0.4,0.6
163600,8,0,0,0,8,1.0,-1.0,0.0,-0.5,-1.0,0.3,0.1,-0.5,0.3,-1.0,-0.5,-0.4,-1.0
