,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
22551,0.0064485687323057,8,0,26,2,0,0,0,23,0,0,0
938,0.0064485687323057,12,0,52,0,0,0,0,39,49,0,80
12408,0.0062912865681031,6,0,37,53,0,0,9,52,131,0,0
10777,0.0062912865681031,9,0,33,3,0,0,0,30,0,0,127
1532,0.0062912865681031,9,0,28,5,0,0,0,28,42,0,10
3344,0.0062912865681031,5,0,25,1,2,0,0,25,52,0,19
7106,0.0062912865681031,8,0,31,5,5,0,0,18,50,0,0
2046,0.0061340044039005,6,0,32,29,19,0,0,41,135,0,8
9940,0.0061340044039005,8,0,29,106,0,0,4,31,0,0,0
11396,0.0061340044039005,11,0,19,2,0,0,0,9,0,0,0
11091,0.0061340044039005,5,0,21,2,0,0,0,10,0,0,0
24432,0.0061340044039005,13,0,22,2,2,0,0,25,0,0,19
9361,0.0061340044039005,8,0,23,51,8,0,0,24,149,0,0
19157,0.0061340044039005,15,0,30,11,0,0,0,33,0,0,0
991,0.0061340044039005,11,0,28,6,0,0,1,37,82,0,0
10226,0.0061340044039005,13,0,20,0,0,0,0,20,57,0,3
9330,0.0061340044039005,13,0,28,6,1,0,0,13,135,0,0
1253,0.005976722239698,12,0,30,3,1,0,0,24,107,0,0
2271,0.005976722239698,16,0,33,51,315,0,93,61,120,0,0
17388,0.005976722239698,8,0,18,1,0,0,0,22,66,0,0
1674,0.005976722239698,11,0,53,1,0,0,0,35,100,0,0
13664,0.005976722239698,9,0,31,1,43,0,8,39,22,0,0
2970,0.005976722239698,12,0,24,1,0,0,0,6,0,0,0
1376,0.005976722239698,9,0,22,12,0,0,3,15,63,0,0
1632,0.005976722239698,8,0,40,0,0,0,0,52,118,0,7
3193,0.005976722239698,12,0,28,1,0,0,0,26,36,0,0
2867,0.005976722239698,9,0,16,102,7,0,0,25,21,0,0
800,0.005976722239698,9,0,18,2,0,0,0,8,0,0,0
8870,0.005976722239698,20,0,20,0,0,0,0,21,2,0,0
1511,0.005976722239698,11,0,23,7,0,0,0,47,0,0,0
15196,0.005976722239698,13,0,29,137,2,0,18,22,0,0,0
8817,0.005976722239698,13,0,25,7,0,0,1,37,0,0,0
981,0.005976722239698,11,0,26,0,1,0,0,20,0,0,4
11496,0.005976722239698,9,0,23,3,0,0,0,11,0,0,0
8522,0.0058194400754954,16,0,24,0,0,0,0,9,0,0,0
2975,0.0058194400754954,8,0,10,2,0,0,2,3,0,0,0
3323,0.0058194400754954,9,0,21,2,1,0,0,13,0,0,24
8521,0.0058194400754954,8,0,24,2,0,0,0,22,89,0,0
19833,0.0058194400754954,7,0,31,0,0,0,0,12,107,0,0
9504,0.0058194400754954,13,0,24,19,0,0,3,9,0,0,1
13708,0.0058194400754954,7,0,26,46,86,0,76,26,111,0,0
13625,0.0058194400754954,17,0,27,0,0,0,0,23,77,0,0
17546,0.0058194400754954,6,0,15,1,0,0,0,10,0,0,8
11856,0.0058194400754954,11,0,29,20,89,0,0,39,110,0,0
5621,0.0058194400754954,6,0,31,0,1,0,0,14,0,0,0
18289,0.0058194400754954,16,0,28,0,0,0,0,11,0,0,10
11386,0.0058194400754954,10,0,18,24,0,0,9,15,115,0,0
2072,0.0058194400754954,12,0,35,0,2,0,0,65,0,0,0
16544,0.0058194400754954,8,0,75,1,39,0,0,48,113,0,154
1009,0.0058194400754954,12,0,25,82,20,0,12,19,123,0,0
2994,0.0058194400754954,17,0,28,3,6,0,0,27,103,0,1
9701,0.0058194400754954,10,0,30,6,0,0,0,23,0,0,0
2845,0.0058194400754954,10,0,29,14,0,0,0,35,1,0,0
6499,0.0058194400754954,16,0,39,0,0,0,0,14,0,0,28
1258,0.0058194400754954,12,0,12,1,0,0,0,3,0,0,0
760,0.0056621579112928,14,0,31,2,2,0,0,22,99,0,2
8448,0.0056621579112928,14,0,24,14,151,0,3,20,28,0,0
20693,0.0056621579112928,10,0,33,2,0,0,0,40,0,0,0
13706,0.0056621579112928,10,0,32,2,0,0,0,24,0,0,0
17704,0.0056621579112928,12,0,39,2,3,0,0,23,0,0,34
1178,0.0056621579112928,19,0,22,1,0,0,1,8,0,0,28
