,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
8930,5,0,0,0,5,1.0,-1.0,0.3,-0.4,-0.8,0.1,0.2,-0.4,0.0,-0.4,0.2,-0.4,-0.2
34377,11,0,0,0,11,1.0,-1.0,-0.7,-0.4,-0.4,0.0,0.2,-0.4,0.5,-0.4,0.0,-0.4,-1.0
32250,10,0,0,0,10,1.0,-1.0,-0.8,-0.4,-1.0,0.5,0.0,-0.4,0.3,0.2,-0.6,-0.4,0.6
241367,7,0,0,0,7,1.0,-1.0,0.4,-0.4,-1.0,-0.4,0.4,-0.4,0.8,-0.8,-0.4,-0.4,-0.2
31900,6,0,0,0,6,1.0,-1.0,0.4,-0.4,-0.6,0.2,0.4,-0.4,0.0,-0.6,0.2,-0.4,-0.2
241749,7,0,0,0,7,1.0,-1.0,0.4,-0.4,-0.8,0.0,0.4,-0.4,0.5,-1.0,0.4,-0.4,-1.0
31431,6,0,0,0,6,1.0,-1.0,0.0,-0.4,-0.6,0.2,0.4,-0.4,-0.3,0.2,0.0,-0.4,-0.6
31050,20,0,0,0,20,1.0,-1.0,-0.4,-0.4,-1.0,0.1,0.4,-0.2,0.5,-1.0,-0.6,-0.4,-1.0
73837,7,0,0,0,7,1.0,-1.0,0.2,-0.4,-0.6,0.1,0.4,-0.4,-0.2,-0.4,0.0,-0.4,-0.2
72601,7,0,0,0,7,1.0,-1.0,0.0,-0.4,-1.0,0.2,0.2,-0.4,0.0,-1.0,-0.2,-0.4,0.2
193610,5,0,0,0,5,1.0,-1.0,0.4,-0.4,0.6,-0.1,0.2,-0.4,0.4,-0.4,-0.6,-0.4,0.6
148863,9,0,0,0,9,1.0,-1.0,-0.2,-0.4,-0.8,-0.2,0.2,-0.4,-0.1,-0.4,-0.6,-0.4,-0.8
111166,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.8,0.1,-0.6,-0.4,0.2,-0.1,0.0,-0.4,0.6
150762,5,0,0,0,5,1.0,-1.0,-0.4,-0.4,-0.8,0.2,0.2,-0.4,0.4,-0.4,0.0,-0.4,-0.2
150932,6,0,0,0,6,1.0,-1.0,0.1,-0.4,-0.6,0.5,0.4,-0.4,-0.4,-0.4,0.2,-0.4,-0.8
151479,6,0,0,0,6,1.0,-1.0,-0.1,-0.4,-0.4,0.2,0.4,-0.4,0.5,-0.6,0.0,-0.4,0.4
151483,5,0,0,0,5,1.0,-1.0,-0.2,-0.4,-0.8,0.4,0.2,-0.4,-0.1,-0.6,0.6,-0.4,0.6
151537,8,0,0,0,8,1.0,-1.0,0.0,-0.4,-1.0,0.2,0.4,-0.4,0.1,-0.6,0.6,-0.4,-0.8
109519,8,0,0,0,8,1.0,-1.0,0.3,-0.4,-1.0,0.1,0.0,-0.4,0.4,-1.0,-0.6,-0.4,-1.0
109427,11,0,0,0,11,1.0,-1.0,-0.3,-0.4,-1.0,-0.1,-0.8,-0.4,0.1,-0.9,-0.2,-0.4,-1.0
152082,6,0,0,0,6,1.0,-1.0,-0.2,-0.4,-0.6,0.3,0.2,-0.4,0.0,-0.2,0.6,-0.4,-0.6
