,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
185288,1,4,5,0.2,0.66,0.77,0.68,0.53,0.6,0.76,0.51,0.73,0.76,0.75,0.82
118422,1,4,5,0.2,0.65,0.77,0.56,0.53,0.58,0.76,0.53,0.55,0.7,0.75,0.83
185538,1,4,5,0.2,0.66,0.77,0.35,0.58,0.66,0.76,0.6,0.47,0.47,0.75,0.22
45987,1,4,5,0.2,0.68,0.77,0.62,0.51,0.57,0.76,0.58,0.61,0.79,0.75,0.74
170155,1,4,5,0.2,0.66,0.77,0.66,0.51,0.54,0.76,0.54,0.68,0.68,0.75,0.77
54817,1,4,5,0.2,0.68,0.77,0.61,0.5,0.57,0.76,0.58,0.49,0.53,0.75,0.3
238568,1,4,5,0.2,0.72,0.77,0.68,0.49,0.74,0.76,0.57,0.76,0.71,0.75,0.81
119858,2,8,10,0.2,0.66,0.77,0.66,0.59,0.56,0.76,0.54,0.55,0.76,0.75,0.61
163534,2,8,10,0.2,0.74,0.77,0.38,0.57,0.67,0.76,0.54,0.56,0.64,0.75,0.13
92693,1,4,5,0.2,0.71,0.77,0.68,0.5,0.61,0.76,0.49,0.66,0.71,0.75,0.75
137397,1,4,5,0.2,0.7,0.77,0.41,0.54,0.54,0.76,0.54,0.62,0.52,0.75,0.25
62150,1,4,5,0.2,0.67,0.77,0.39,0.5,0.63,0.76,0.6,0.51,0.29,0.75,0.27
239000,1,4,5,0.2,0.67,0.77,0.61,0.47,0.55,0.76,0.58,0.61,0.7,0.75,0.76
10199,2,8,10,0.2,0.69,0.77,0.67,0.53,0.57,0.76,0.56,0.65,0.77,0.75,0.66
65665,1,4,5,0.2,0.67,0.77,0.4,0.58,0.65,0.76,0.72,0.53,0.65,0.75,0.26
98297,2,8,10,0.2,0.66,0.77,0.47,0.58,0.68,0.76,0.63,0.47,0.69,0.75,0.28
160393,1,4,5,0.2,0.61,0.77,0.65,0.48,0.64,0.76,0.58,0.73,0.59,0.75,0.83
34801,2,8,10,0.2,0.68,0.77,0.57,0.53,0.59,0.76,0.57,0.47,0.75,0.75,0.36
33004,1,4,5,0.2,0.7,0.77,0.75,0.45,0.74,0.76,0.53,0.59,0.76,0.75,0.83
834,1,4,5,0.2,0.67,0.77,0.65,0.5,0.66,0.76,0.6,0.7,0.7,0.75,0.74
101550,1,4,5,0.2,0.72,0.77,0.81,0.44,0.53,0.76,0.52,0.67,0.73,0.75,0.39
201751,1,4,5,0.2,0.73,0.77,0.68,0.49,0.65,0.76,0.54,0.52,0.78,0.75,0.56
252903,1,4,5,0.2,0.78,0.77,0.35,0.56,0.87,0.76,0.52,0.43,0.78,0.75,0.15
74571,1,4,5,0.2,0.66,0.77,0.54,0.55,0.58,0.76,0.57,0.57,0.83,0.75,0.54
