,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
450,0.0088133459238275,10,0,60,12,3,0,0,25,0,0,71
3380,0.0088133459238275,15,0,119,0,21,0,0,94,113,0,292
980,0.0088133459238275,15,0,59,8,0,0,0,85,169,0,37
1723,0.0088133459238275,12,0,23,2,0,0,0,13,39,0,6
238,0.0088133459238275,16,0,42,4,8,0,0,41,193,0,0
862,0.0088133459238275,11,0,40,7,0,0,0,16,0,0,0
73,0.0088133459238275,7,0,54,42,12,0,0,77,0,0,5
229,0.0088133459238275,8,0,87,2,0,0,0,21,184,0,2
257,0.0088133459238275,18,0,55,0,21,0,0,68,112,0,202
1080,0.0086559647466163,15,0,43,9,0,0,1,26,10,0,236
384,0.0086559647466163,15,0,38,81,0,0,7,36,192,0,4
830,0.0086559647466163,13,0,71,7,0,0,0,20,5,0,17
299,0.0086559647466163,9,0,32,17,0,0,1,29,0,0,0
682,0.0086559647466163,16,0,48,18,25,0,7,103,222,0,17
436,0.0086559647466163,11,0,34,31,0,0,3,46,151,0,0
1019,0.0086559647466163,17,0,38,14,0,0,9,62,108,0,0
61,0.0086559647466163,19,0,43,2,0,0,2,11,0,0,0
585,0.0084985835694051,12,0,37,86,1,0,0,31,0,0,0
1247,0.0084985835694051,17,0,40,14,1,0,0,22,82,0,76
2683,0.0084985835694051,16,0,22,1,6,0,0,2,74,0,0
396,0.0084985835694051,18,0,21,0,0,0,0,2,0,0,41
518,0.0084985835694051,13,0,20,0,0,0,0,1,0,0,44
873,0.0084985835694051,17,0,45,411,2403,0,139,76,151,0,0
1149,0.0084985835694051,14,0,22,4,0,0,0,10,136,0,0
194,0.0083412023921938,15,0,33,11,0,0,0,32,143,0,0
1319,0.0083412023921938,14,0,36,0,0,0,0,26,0,0,3
3262,0.0083412023921938,18,0,34,4,0,0,0,45,170,0,0
2199,0.0083412023921938,17,0,90,3,10,0,0,60,104,0,52
1736,0.0083412023921938,15,0,28,1,0,0,0,20,0,0,0
251,0.0083412023921938,16,0,87,0,0,0,0,34,133,0,0
535,0.0083412023921938,12,0,37,122,275,0,37,83,182,0,15
1797,0.0083412023921938,11,0,55,2,0,0,0,25,0,0,54
815,0.0081838212149826,13,0,47,30,0,0,0,34,98,0,0
565,0.0081838212149826,8,0,76,0,0,0,0,19,7,0,262
400,0.0081838212149826,14,0,58,16,0,0,0,47,0,0,63
66,0.0081838212149826,13,0,32,76,0,0,0,46,114,0,0
283,0.0081838212149826,12,0,23,28,0,0,0,11,0,0,0
1492,0.0081838212149826,12,0,18,2,0,0,0,10,0,0,0
2349,0.0081838212149826,17,0,48,0,0,0,0,50,61,0,0
180,0.0081838212149826,16,0,32,2,0,0,0,16,0,0,0
1307,0.0081838212149826,15,0,40,8,5,0,0,18,0,0,0
1484,0.0081838212149826,15,0,30,19,3,0,3,20,0,0,15
1533,0.0081838212149826,11,0,34,2,0,0,0,22,0,0,0
2781,0.0080264400377714,13,0,41,1,0,0,0,22,88,0,0
454,0.0080264400377714,16,0,44,46,2,0,0,29,0,0,0
2661,0.0080264400377714,16,0,39,158,421,0,220,60,114,0,0
1260,0.0080264400377714,11,0,45,11,6,0,0,24,137,0,1
606,0.0080264400377714,13,0,28,8,0,0,0,6,4,0,42
1071,0.0080264400377714,14,0,59,3,10,0,2,37,125,0,172
1848,0.0080264400377714,9,0,26,53,6,0,13,19,121,0,0
550,0.0080264400377714,13,0,59,62,187,0,0,44,138,0,0
1451,0.0078690588605602,16,0,47,5,0,0,0,38,76,0,40
414,0.0078690588605602,13,0,80,0,2,0,0,39,136,0,6
1055,0.0078690588605602,14,0,32,67,18,0,0,71,31,0,0
923,0.0078690588605602,10,0,35,0,0,0,0,29,62,0,0
743,0.0078690588605602,13,0,60,0,0,0,0,26,71,0,0
350,0.0078690588605602,12,0,25,2,1,0,0,11,0,0,0
1942,0.0078690588605602,10,0,34,15,0,0,0,43,0,0,0
1835,0.0078690588605602,12,0,16,3,0,0,0,6,0,0,6
203,0.0078690588605602,12,0,26,3,0,0,0,10,173,0,0
1795,0.0078690588605602,12,0,28,1,0,0,0,9,0,0,0
80,0.0078690588605602,8,0,26,14,0,0,0,15,0,0,2
1033,0.0078690588605602,21,0,77,3,2,0,0,26,22,0,0
1316,0.007711677683349,10,0,35,7,0,0,0,6,0,0,0
2436,0.007711677683349,14,0,29,5,0,0,0,35,0,0,1
1993,0.007711677683349,10,0,32,0,0,0,0,21,0,0,0
1865,0.007711677683349,19,0,21,69,401,0,0,22,0,0,0
260,0.007711677683349,17,0,26,1,10,0,0,12,0,0,0
145,0.007711677683349,13,0,42,0,0,0,0,32,148,0,3
1651,0.007711677683349,13,0,16,9,0,0,0,8,139,0,0
