,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
194639,5,0,0,0,5,1.0,-1.0,0.02,0.09,-0.17,0.15,-0.08,0.07,0.25,-0.03,0.11,0.08,-0.22
66953,6,0,0,0,6,1.0,-1.0,0.11,0.09,-0.05,0.24,-0.02,0.07,0.15,-0.2,0.01,0.08,0.35
47925,6,0,0,0,6,1.0,-1.0,0.02,0.09,-0.27,0.25,0.14,0.07,0.2,0.07,-0.16,0.08,-0.19
223927,5,0,0,0,5,1.0,-1.0,-0.02,0.09,-0.15,0.19,0.32,0.07,0.3,0.17,0.22,0.08,0.12
223587,9,0,0,0,9,1.0,-1.0,-0.1,0.09,-0.61,0.21,0.1,0.07,0.15,-0.88,-0.4,0.08,-0.91
70448,5,0,0,0,5,1.0,-1.0,-0.05,0.09,-0.03,0.29,0.3,0.07,0.09,0.13,-0.26,0.08,0.52
199795,5,0,0,0,5,1.0,-1.0,-0.09,0.09,-0.22,0.25,0.12,0.09,0.34,-0.17,-0.09,0.08,-0.44
199981,6,0,0,0,6,1.0,-1.0,-0.05,0.09,-0.22,0.23,0.08,0.07,0.21,-0.09,0.13,0.08,-0.06
200252,5,0,0,0,5,1.0,-1.0,-0.06,0.09,-0.55,0.27,0.05,0.07,0.18,-0.36,0.24,0.08,-0.97
69012,6,0,0,0,6,1.0,-1.0,-0.12,0.09,-0.15,0.33,0.17,0.07,0.21,-0.26,-0.16,0.08,-0.3
49324,6,0,0,0,6,1.0,-1.0,-0.08,0.09,-0.42,0.24,-0.06,0.07,0.34,-0.56,-0.25,0.08,-0.91
202036,7,0,0,0,7,1.0,-1.0,0.04,0.09,-0.46,0.11,-0.14,0.07,0.17,-0.44,0.3,0.08,-0.89
223461,5,0,0,0,5,1.0,-1.0,0.05,0.09,-0.16,0.24,0.02,0.07,0.23,0.22,0.16,0.08,-0.05
8323,7,0,0,0,7,1.0,-1.0,-0.03,0.09,-0.26,0.28,0.23,0.07,0.28,-0.65,0.01,0.08,-0.93
195182,8,0,0,0,8,1.0,-1.0,-0.06,0.09,-0.3,0.25,0.07,0.07,0.26,-0.19,-0.34,0.08,-0.06
234614,5,0,0,0,5,1.0,-1.0,-0.05,0.09,-0.42,0.3,0.16,0.07,0.28,-0.44,0.36,0.08,-0.69
169192,6,0,0,0,6,1.0,-1.0,0.02,0.09,0.22,0.34,0.09,0.07,0.23,0.01,-0.07,0.08,0.55
167272,6,0,0,0,6,1.0,-1.0,-0.03,0.09,-0.46,0.34,0.08,0.07,0.12,-0.42,-0.14,0.08,-0.31
246820,8,0,0,0,8,1.0,-1.0,0.26,0.09,-0.31,0.13,-0.13,0.07,0.06,-0.27,-0.05,0.08,-0.47
115503,8,0,0,0,8,1.0,-1.0,-0.07,0.09,-0.15,0.17,0.22,0.07,0.09,-0.2,0.0,0.08,0.11
27265,5,0,0,0,5,1.0,-1.0,-0.09,0.09,-0.28,0.17,0.05,0.07,0.26,-0.16,0.24,0.08,-0.16
260363,8,0,0,0,8,1.0,-1.0,-0.07,0.09,-0.24,0.33,-0.1,0.07,0.28,-0.42,-0.36,0.08,-0.2
114483,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.14,0.22,-0.01,0.09,0.22,-0.24,-0.04,0.08,0.06
147045,6,0,0,0,6,1.0,-1.0,0.0,0.09,-0.25,0.17,0.05,0.07,0.16,0.0,-0.14,0.08,-0.26
28451,23,0,0,0,23,1.0,-1.0,-0.02,0.09,-0.82,0.21,0.08,0.07,0.02,-0.96,-0.4,0.08,-0.95
244494,6,0,0,0,6,1.0,-1.0,0.01,0.09,-0.11,0.23,0.11,0.07,0.35,-0.03,0.39,0.08,-0.24
113624,7,0,0,0,7,1.0,-1.0,-0.03,0.09,-0.35,0.26,-0.09,0.07,0.03,-0.22,0.54,0.08,-0.31
29306,5,0,0,0,5,1.0,-1.0,-0.1,0.09,-0.45,0.18,0.32,0.07,0.18,-0.2,0.21,0.08,-0.67
244456,6,0,0,0,6,1.0,-1.0,-0.02,0.09,-0.11,0.34,-0.07,0.07,0.11,-0.21,0.19,0.08,-0.16
14271,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.24,0.33,0.07,0.07,0.28,-0.02,0.42,0.08,-0.52
112598,7,0,0,0,7,1.0,-1.0,0.01,0.09,-0.02,0.32,-0.01,0.07,0.18,-0.02,-0.18,0.08,-0.14
29867,5,0,0,0,5,1.0,-1.0,-0.04,0.09,-0.27,0.19,0.25,0.07,0.25,-0.61,-0.26,0.08,-0.91
148590,20,0,0,0,20,1.0,-1.0,-0.03,0.09,-0.34,0.18,0.05,0.09,0.3,-0.01,0.3,0.08,0.0
148863,9,0,0,0,9,1.0,-1.0,0.06,0.09,-0.29,0.2,0.15,0.07,0.25,-0.36,0.03,0.08,-0.39
243785,10,0,0,0,10,1.0,-1.0,0.08,0.09,-0.35,0.09,0.37,0.07,0.21,-0.42,0.2,0.08,-0.81
243607,6,0,0,0,6,1.0,-1.0,0.22,0.09,-0.06,0.29,0.09,0.07,0.1,-0.09,0.05,0.08,-0.16
150762,6,0,0,0,6,1.0,-1.0,0.16,0.09,-0.14,0.24,0.28,0.07,0.29,0.15,0.36,0.08,0.25
111166,5,0,0,0,5,1.0,-1.0,0.12,0.09,0.05,0.28,0.16,0.07,0.23,0.08,0.13,0.08,0.45
150932,6,0,0,0,6,1.0,-1.0,0.05,0.09,-0.5,0.24,0.14,0.07,0.21,-0.4,0.01,0.08,-0.96
13733,5,0,0,0,5,1.0,-1.0,0.07,0.09,-0.17,0.13,0.16,0.07,0.29,-0.44,-0.09,0.08,-0.15
96936,9,0,0,0,9,1.0,-1.0,0.03,0.09,-0.34,0.27,-0.01,0.07,0.19,0.01,-0.24,0.08,-0.64
115997,5,0,0,0,5,1.0,-1.0,0.08,0.09,-0.2,0.2,0.27,0.07,0.26,-0.18,0.03,0.08,0.15
249634,5,0,0,0,5,1.0,-1.0,-0.08,0.09,-0.73,0.27,0.12,0.07,0.25,-0.87,-0.17,0.08,-0.91
140763,6,0,0,0,6,1.0,-1.0,0.15,0.09,-0.22,0.16,0.1,0.07,0.26,-0.33,0.14,0.08,-0.14
119446,6,0,0,0,6,1.0,-1.0,0.03,0.09,-0.54,0.22,0.17,0.07,0.21,-0.16,-0.1,0.08,-0.21
16908,9,0,0,0,9,1.0,-1.0,0.14,0.09,-0.47,0.29,0.06,0.07,0.08,-0.6,-0.19,0.08,-0.83
127432,7,0,0,0,7,1.0,-1.0,-0.11,0.09,-0.2,0.33,-0.14,0.07,0.17,-0.09,-0.34,0.08,0.2
131238,6,0,0,0,6,1.0,-1.0,-0.05,0.09,0.17,0.25,0.02,0.07,0.31,-0.1,0.03,0.08,0.47
127122,5,0,0,0,5,1.0,-1.0,0.03,0.09,-0.75,0.25,-0.01,0.07,0.07,-0.83,-0.26,0.08,-0.75
126860,8,0,0,0,8,1.0,-1.0,0.08,0.09,-0.37,0.24,0.32,0.07,0.13,-0.18,0.08,0.08,-0.2
254863,7,0,0,0,7,1.0,-1.0,-0.03,0.09,-0.65,0.23,0.07,0.07,0.16,-0.7,-0.51,0.08,-0.93
133166,9,0,0,0,9,1.0,-1.0,-0.05,0.09,-0.64,0.11,0.05,0.07,0.04,-0.76,-0.48,0.08,-0.94
133258,10,0,0,0,10,1.0,-1.0,-0.06,0.09,-0.24,0.27,0.28,0.07,0.22,-0.24,-0.08,0.08,-0.24
254777,5,0,0,0,5,1.0,-1.0,0.06,0.09,-0.16,0.21,-0.06,0.07,0.18,-0.16,-0.19,0.08,-0.3
253867,7,0,0,0,7,1.0,-1.0,0.03,0.09,-0.1,0.24,-0.04,0.07,0.17,0.06,0.01,0.08,-0.04
124989,22,0,0,0,22,1.0,-1.0,-0.01,0.09,-0.86,0.21,0.18,0.07,0.25,-0.94,-0.37,0.08,-0.94
151483,5,0,0,0,5,1.0,-1.0,-0.02,0.09,-0.46,0.17,0.36,0.07,0.15,-0.32,-0.05,0.08,-0.32
275481,5,0,0,0,5,1.0,-1.0,-0.08,0.09,-0.28,0.21,0.03,0.07,0.23,-0.15,0.29,0.08,-0.19
135665,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.3,0.26,0.26,0.07,0.13,0.13,0.1,0.08,-0.04
20115,5,0,0,0,5,1.0,-1.0,-0.1,0.09,-0.18,0.21,0.18,0.07,0.22,0.01,0.04,0.08,-0.26
135965,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.28,0.19,0.08,0.07,0.21,0.01,0.16,0.08,-0.14
277937,8,0,0,0,8,1.0,-1.0,-0.01,0.09,-0.23,0.27,0.13,0.09,0.09,0.16,-0.01,0.08,-0.34
20347,6,0,0,0,6,1.0,-1.0,0.05,0.09,-0.31,0.27,0.18,0.07,0.28,-0.23,-0.16,0.08,0.02
121405,5,0,0,0,5,1.0,-1.0,0.09,0.09,-0.71,0.32,0.15,0.07,0.23,-0.83,-0.4,0.08,-0.71
121166,6,0,0,0,6,1.0,-1.0,0.09,0.09,-0.15,0.25,0.17,0.07,0.4,0.05,-0.06,0.08,0.13
21903,8,0,0,0,8,1.0,-1.0,0.19,0.09,-0.19,0.16,0.18,0.07,0.11,-0.16,-0.09,0.08,-0.14
120333,6,0,0,0,6,1.0,-1.0,-0.18,0.09,-0.25,0.24,0.31,0.07,0.3,-0.55,-0.2,0.08,-0.18
139607,5,0,0,0,5,1.0,-1.0,0.04,0.09,-0.35,0.16,0.22,0.07,0.32,-0.09,-0.34,0.08,-0.36
120030,5,0,0,0,5,1.0,-1.0,-0.17,0.09,-0.8,0.17,0.09,0.07,0.22,-0.84,-0.36,0.08,-0.94
19429,8,0,0,0,8,1.0,-1.0,0.14,0.09,-0.3,0.23,0.15,0.07,0.16,-0.27,0.1,0.08,0.09
151537,8,0,0,0,8,1.0,-1.0,0.13,0.09,-0.49,0.14,0.13,0.07,0.24,-0.22,-0.3,0.08,-0.01
151479,6,0,0,0,6,1.0,-1.0,0.09,0.09,-0.4,0.23,0.21,0.07,0.23,0.1,0.09,0.08,-0.72
273167,6,0,0,0,6,1.0,-1.0,0.09,0.09,-0.61,0.2,0.15,0.07,0.24,-0.68,-0.08,0.08,-0.91
159868,13,0,0,0,13,1.0,-1.0,0.02,0.09,-0.52,0.26,0.26,0.07,0.15,-0.45,0.05,0.08,-0.64
160231,8,0,0,0,8,1.0,-1.0,-0.02,0.09,0.01,0.23,0.27,0.07,0.11,0.23,0.28,0.08,0.6
31050,20,0,0,0,20,1.0,-1.0,-0.1,0.09,-0.68,0.24,0.16,0.07,0.17,-0.9,-0.11,0.08,-0.91
160878,5,0,0,0,5,1.0,-1.0,0.18,0.09,-0.1,0.17,-0.02,0.07,0.29,-0.01,-0.09,0.08,-0.07
161200,12,0,0,0,12,1.0,-1.0,-0.02,0.09,-0.66,0.21,0.27,0.07,0.17,-0.63,0.16,0.08,-0.93
34377,11,0,0,0,11,1.0,-1.0,-0.13,0.09,-0.18,0.27,0.11,0.07,0.2,-0.36,0.01,0.08,-0.41
34987,9,0,0,0,9,1.0,-1.0,-0.04,0.09,-0.25,0.26,-0.01,0.07,0.26,-0.34,0.13,0.08,-0.13
35030,6,0,0,0,6,1.0,-1.0,0.06,0.09,-0.29,0.32,0.06,0.07,0.19,-0.05,-0.04,0.08,0.09
162219,9,0,0,0,9,1.0,-1.0,-0.03,0.09,-0.31,0.24,-0.16,0.07,0.35,-0.14,-0.04,0.08,-0.02
238757,5,0,0,0,5,1.0,-1.0,0.19,0.09,-0.87,0.25,0.17,0.07,0.12,-0.83,-0.4,0.08,-0.94
32250,10,0,0,0,10,1.0,-1.0,-0.09,0.09,-0.05,0.13,0.23,0.07,0.03,0.01,-0.05,0.08,0.17
101874,7,0,0,0,7,1.0,-1.0,-0.15,0.09,-0.65,0.18,0.21,0.07,0.17,-0.7,0.28,0.08,-0.89
238319,7,0,0,0,7,1.0,-1.0,-0.08,0.09,-0.29,0.18,0.27,0.07,0.01,-0.28,-0.22,0.08,-0.03
163600,8,0,0,0,8,1.0,-1.0,-0.11,0.09,-0.67,0.2,0.07,0.09,0.15,-0.75,-0.27,0.08,-0.87
164870,5,0,0,0,5,1.0,-1.0,0.0,0.09,-0.16,0.29,0.01,0.07,0.15,-0.23,0.08,0.08,-0.32
99322,7,0,0,0,7,1.0,-1.0,0.0,0.09,-0.82,0.1,0.14,0.07,0.13,-0.73,-0.11,0.08,-0.93
99193,7,0,0,0,7,1.0,-1.0,0.05,0.09,-0.11,0.22,-0.04,0.07,0.21,-0.06,0.24,0.08,-0.11
36938,9,0,0,0,9,1.0,-1.0,-0.05,0.09,0.05,0.1,0.07,0.07,0.35,-0.15,-0.02,0.08,-0.06
12811,5,0,0,0,5,1.0,-1.0,-0.25,0.09,-0.22,0.28,-0.04,0.07,0.29,-0.13,-0.14,0.08,-0.22
37691,5,0,0,0,5,1.0,-1.0,-0.08,0.09,-0.12,0.28,0.0,0.07,0.29,-0.07,0.07,0.08,0.21
235206,5,0,0,0,5,1.0,-1.0,0.13,0.09,-0.15,0.25,-0.02,0.07,0.08,-0.43,0.07,0.08,-0.32
234901,5,0,0,0,5,1.0,-1.0,0.15,0.09,-0.27,0.17,0.16,0.07,0.08,-0.05,0.1,0.08,-0.41
